,title,genres,keywords,cast,director,images
47,Star Trek Into Darkness,Action Adventure Science Fiction,spacecraft friendship sequel futuristic space,Chris Pine Zachary Quinto Zoe Saldana Karl Urban Simon Pegg,J.J. Abrams,/1aS7a9rwrUh6RuDq2A9VowxE9os.jpg
48,Jack the Giant Slayer,Action Family Fantasy,based on fairy tale giant,Nicholas Hoult Eleanor Tomlinson Ewan McGregor Stanley Tucci Ian McShane,Bryan Singer,/c7U9Fuy74WLp7gFAdpQJHn2T2no.jpg
49,The Great Gatsby,Drama Romance,based on novel infidelity obsession hope 3d,Leonardo DiCaprio Tobey Maguire Carey Mulligan Joel Edgerton Elizabeth Debicki,Baz Luhrmann,/tb440cwQMRoVHnhYJlzlxfv1ikm.jpg
50,Prince of Persia: The Sands of Time,Adventure Fantasy Action Romance,persia sandstorm brother against brother armageddon regent,Jake Gyllenhaal Gemma Arterton Ben Kingsley Alfred Molina Steve Toussaint,Mike Newell,/iP0capCU4w5nxCDl398CH7yR1r9.jpg
51,Pacific Rim,Action Science Fiction Adventure,dystopia giant robot giant monster apocalypse imax,Idris Elba Charlie Hunnam Charlie Day Ron Perlman Burn Gorman,Guillermo del Toro,/ig7qUy7drkEFZNCK7gi0hMn1WMN.jpg
52,Transformers: Dark of the Moon,Action Science Fiction Adventure,moon spacecraft traitor bodyguard alien planet,Shia LaBeouf John Malkovich Ken Jeong Frances McDormand Josh Duhamel,Michael Bay,/af2duhAt9evRkxzkhxjgQ1naOM6.jpg
53,Indiana Jones and the Kingdom of the Crystal Skull,Adventure Action,saving the world riddle whip treasure mexico city,Harrison Ford Cate Blanchett Shia LaBeouf Ray Winstone Karen Allen,Steven Spielberg,/p96949hcwUG2BwE6MgKmw0uYNCx.jpg
54,The Good Dinosaur,Adventure Animation Family,tyrannosaurus rex friends alternate history dinosaur fear,Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla,Peter Sohn,/s4wRC37TUwxtghhFBaze0qO1278.jpg
55,Brave,Animation Adventure Comedy Family Action,scotland rebel bravery kingdom archer,Kelly Macdonald Julie Walters Billy Connolly Emma Thompson Kevin McKidd,Brenda Chapman,/qx9ts2hBYJrkIQxhryitxnLlm2u.jpg
56,Star Trek Beyond,Action Adventure Science Fiction,sequel stranded hatred space opera,Chris Pine Zachary Quinto Karl Urban Simon Pegg Zoe Saldana,Justin Lin,/m4F1KRK5jAoQHi2mKDFE2jFKEIb.jpg
57,WALL·E,Animation Family,romantic comedy,Ben Burtt Elissa Knight Jeff Garlin Fred Willard John Ratzenberger,Andrew Stanton,/ai2FicMUxLCurVkjtYdSvVDWRmS.jpg
58,Rush Hour 3,Action Comedy Crime Thriller,ambassador,Chris Tucker Jackie Chan Hiroyuki Sanada Max von Sydow Yvan Attal,Brett Ratner,/rnWSM7qWWdAc2LvNh3lrvsERz7c.jpg
59,2012,Action Adventure Science Fiction,civilization natural disaster end of the world disaster apocalypse,John Cusack Amanda Peet Chiwetel Ejiofor Thandie Newton Oliver Platt,Roland Emmerich,/pvxmYJcgrLiYC6G2IQTn1PPNems.jpg
60,A Christmas Carol,Animation Drama,holiday based on novel victorian england money christmas eve,Gary Oldman Jim Carrey Steve Valentine Daryl Sabara Sage Ryan,Robert Zemeckis,/Awx3ld6kRqq0iMKPPCUTt1RidCn.jpg
61,Jupiter Ascending,Science Fiction Fantasy Action Adventure,jupiter space woman director 3d interspecies romance,Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth,Lilly Wachowski,/lGD5itDKjoOYXaVXVmGgubWMB7M.jpg
62,The Legend of Tarzan,Action Adventure,africa feral child tarzan jungle animal attack,Alexander Skarsg\u00e5rd Margot Robbie Christoph Waltz Samuel L. Jackson Djimon Hounsou,David Yates,/d9H2nXfKslf6B1cm7UtPBKhtUgA.jpg
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure Family Fantasy,saving the world witch based on novel brother sister relationship self sacrifice,William Moseley Anna Popplewell Skandar Keynes Georgie Henley Liam Neeson,Andrew Adamson,/tuDhEdza074bA497bO9WFEPs6O6.jpg
64,X-Men: Apocalypse,Science Fiction,mutant supernatural powers marvel comic superhero based on comic book,James McAvoy Michael Fassbender Jennifer Lawrence Nicholas Hoult Oscar Isaac,Bryan Singer,/2ex2beZ4ssMeOduLD0ILzXKCiep.jpg
65,The Dark Knight,Drama Action Crime Thriller,dc comics crime fighter secret identity scarecrow sadism,Christian Bale Heath Ledger Aaron Eckhart Michael Caine Maggie Gyllenhaal,Christopher Nolan,/hkBaDkMWbLaf8B1lsWsKX7Ew3Xq.jpg
66,Up,Animation Comedy Family Adventure,age difference central and south america balloon animation floating in the air,Ed Asner Christopher Plummer Jordan Nagai Bob Peterson Delroy Lindo,Pete Docter,/h8C7KZwCJO5DN7jPifc7AoIjx7k.jpg
67,Monsters vs Aliens,Animation Family Adventure Science Fiction,alien giant robot duringcreditsstinger,Seth Rogen Reese Witherspoon Hugh Laurie Paul Rudd Kiefer Sutherland,Conrad Vernon,/na71ASQOjgIkLc3xkqXghyHc2UK.jpg
68,Iron Man,Action Science Fiction Adventure,middle east arms dealer malibu marvel comic superhero,Robert Downey Jr. Terrence Howard Jeff Bridges Shaun Toub Gwyneth Paltrow,Jon Favreau,/8EgxSaVRZwcm3pWChyW4j7yPplq.jpg
69,Hugo,Adventure Drama Family,library clock film director key toy,Ben Kingsley Sacha Baron Cohen Asa Butterfield Chlo\u00eb Grace Moretz Ray Winstone,Martin Scorsese,/jlh5bNiSPcbQ79Nt31kE2GxIR3h.jpg
70,Wild Wild West,Action Adventure Comedy Science Fiction Western,steampunk based on tv series steam locomotive drag,Will Smith Kevin Kline Kenneth Branagh Salma Hayek M. Emmet Walsh,Barry Sonnenfeld,/yx50WO9SwtfdCZBoLhOn5vAblru.jpg
71,The Mummy: Tomb of the Dragon Emperor,Adventure Action Fantasy,,Brendan Fraser Jet Li John Hannah Maria Bello Luke Ford,Rob Cohen,/z1btePhD1jIDLbjy5OCnO0KVf5O.jpg
72,Suicide Squad,Action Adventure Crime Fantasy Science Fiction,dc comics shared universe anti hero secret mission villain,Will Smith Margot Robbie Joel Kinnaman Viola Davis Jared Leto,David Ayer,/sMRwI5trKI6qhxYcjPgGghmPBef.jpg
73,Evan Almighty,Fantasy Comedy Family,father son relationship daily life married couple support father,Steve Carell Lauren Graham John Goodman Jimmy Bennett John Michael Higgins,Tom Shadyac,/aJNT1U2L0MNA9FicvP3w0NLLVeM.jpg
74,Edge of Tomorrow,Action Science Fiction,deja vu time warp restart dystopia war,Tom Cruise Emily Blunt Brendan Gleeson Bill Paxton Jonas Armstrong,Doug Liman,/auZIuHEUec5tBTns3tCRXfayxZq.jpg
75,Waterworld,Adventure Action,ocean tattoo mutant water dystopia,Kevin Costner Chaim Girafi Rick Aviles R. D. Call Zitto Kazann,Kevin Reynolds,/hJleEkILmKzJsvzrU8o5d66jbPa.jpg
76,G.I. Joe: The Rise of Cobra,Adventure Action Thriller Science Fiction,terrorist secret hostage technology warhead,Dennis Quaid Channing Tatum Marlon Wayans Sienna Miller Joseph Gordon-Levitt,Stephen Sommers,/z9EaK0h0hGhrhwqWsp2WyIOIwQF.jpg
77,Inside Out,Drama Comedy Animation Family,dream cartoon imaginary friend animation family,Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black,Pete Docter,/o3i6AfTcWAuNvzAUV3q5lOmi6Gx.jpg
78,The Jungle Book,Family Adventure Drama Fantasy,based on novel snake wolf elephant tiger,Neel Sethi Bill Murray Ben Kingsley Idris Elba Scarlett Johansson,Jon Favreau,/tB2w4m0rW62MTufTjRj0gFLMVBP.jpg
79,Iron Man 2,Adventure Action Science Fiction,malibu marvel comic superhero based on comic book revenge,Robert Downey Jr. Gwyneth Paltrow Don Cheadle Scarlett Johansson Mickey Rourke,Jon Favreau,/7lmBufEG7P7Y1HClYK3gCxYrkgS.jpg
80,Snow White and the Huntsman,Adventure Fantasy Drama,queen magic fairy tale immortality forest,Kristen Stewart Charlize Theron Chris Hemsworth Sam Claflin Ian McShane,Rupert Sanders,/KBe9fHU5rVg4daoKnFwl1Cbc28.jpg
81,Maleficent,Fantasy Adventure Action Family Romance,fairy tale villain sleeping beauty dark fantasy based on fairy tale,Angelina Jolie Elle Fanning Sharlto Copley Sam Riley Juno Temple,Robert Stromberg,/xjotE7aFdZ0D8aGriYjFOtDayct.jpg
82,Dawn of the Planet of the Apes,Science Fiction Action Drama Thriller,leader colony post-apocalyptic dystopia forest,Andy Serkis Jason Clarke Gary Oldman Keri Russell Toby Kebbell,Matt Reeves,/zlU8BIkgY7E6SMfD3USTWC6bchL.jpg
83,The Lovers,Action Adventure Science Fiction Romance,,Josh Hartnett Simone Kessell Tamsin Egerton Alice Englert Bipasha Basu,Roland Joff\u00e9,/bHDQPPXx5hxkrg7oE9TJXrFHUSg.jpg
84,47 Ronin,Drama Action Adventure Fantasy,japan suicide samurai based on true story samurai sword,Keanu Reeves Hiroyuki Sanada Kou Shibasaki Tadanobu Asano Min Tanaka,Carl Rinsch,/nyt0jlofZyjhRqiQkEp0cdoKaS3.jpg
85,Captain America: The Winter Soldier,Action Adventure Science Fiction,washington d.c. future shield marvel comic superhero,Chris Evans Samuel L. Jackson Scarlett Johansson Robert Redford Sebastian Stan,Anthony Russo,/aZBZtLCM90QHDCuZFR6oc4NXCWu.jpg
86,Shrek Forever After,Comedy Adventure Fantasy Animation Family,ogre 3d,Mike Myers Eddie Murphy Cameron Diaz Antonio Banderas Julie Andrews,Mike Mitchell,/xZ2we4gdiwQmg6D1w9qHlAm5yIf.jpg
87,Tomorrowland,Adventure Family Mystery Science Fiction,inventor apocalypse destiny imax dreamer,Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie,Brad Bird,/8Nn6rRClhREixqsHJ3eAnZNVfJl.jpg
88,Big Hero 6,Adventure Family Animation Action Comedy,brother brother relationship hero talent revenge best friend,Scott Adsit Ryan Potter Daniel Henney T.J. Miller Jamie Chung,Chris Williams,/4s2d3xdyqotiVNHTlTlJjrr3q0H.jpg
89,Wreck-It Ralph,Family Animation Comedy Adventure,support group product placement bullying racing arcade,John C. Reilly Sarah Silverman Jack McBrayer Jane Lynch Alan Tudyk,Rich Moore,/mSTKBEz1saXIUVDrAaU1YX6IBn7.jpg
90,The Polar Express,Adventure Animation Family Fantasy,santa claus nerd faith gift bell,Tom Hanks Michael Jeter Nona Gaye Peter Scolari Eddie Deezen,Robert Zemeckis,/vQuIi5iOCN3V6yg7nbP5HUiVnpK.jpg
91,Independence Day: Resurgence,Action Adventure Science Fiction,alternate history alien invasion,Liam Hemsworth Jeff Goldblum Bill Pullman Maika Monroe Sela Ward,Roland Emmerich,/ou70x2658dVnbycIRaC37sEeafS.jpg
92,How to Train Your Dragon,Fantasy Adventure Animation Family,flying blacksmith arena island night,Jay Baruchel Gerard Butler Craig Ferguson America Ferrera Jonah Hill,Chris Sanders,/kxklJL1v8MYEU5xdU6W5VvmBwVz.jpg
93,Terminator 3: Rise of the Machines,Action Thriller Science Fiction,saving the world artificial intelligence man vs machine cyborg killer robot,Arnold Schwarzenegger Nick Stahl Claire Danes Kristanna Loken David Andrews,Jonathan Mostow,/A26TdP8JVUgwGTJGjwH8zS8dpPO.jpg
94,Guardians of the Galaxy,Action Science Fiction Adventure,marvel comic spaceship space outer space orphan,Chris Pratt Zoe Saldana Dave Bautista Vin Diesel Bradley Cooper,James Gunn,/ko4N6wWp0UYlMmsVyfIfLyRAZtP.jpg
95,Interstellar,Adventure Drama Science Fiction,saving the world artificial intelligence father son relationship single parent nasa,Matthew McConaughey Jessica Chastain Anne Hathaway Michael Caine Casey Affleck,Christopher Nolan,/rAiYTfKGqDCRIIqo664sY9XZIvQ.jpg
96,Inception,Action Thriller Science Fiction Mystery Adventure,loss of lover dream kidnapping sleep subconsciousness,Leonardo DiCaprio Joseph Gordon-Levitt Ellen Page Tom Hardy Ken Watanabe,Christopher Nolan,/s3TBrRGB1iav7gFOCNx3H31MoES.jpg
97,Shin Godzilla,Action Adventure Drama Horror Science Fiction,monster godzilla giant monster destruction kaiju,Hiroki Hasegawa Yutaka Takenouchi Satomi Ishihara Kengo Kora Matsuo Satoru,Hideaki Anno,/9nyToPG5mhfm4KiPGChu35jH9QZ.jpg
98,The Hobbit: An Unexpected Journey,Adventure Fantasy Action,riddle elves dwarves orcs middle-earth (tolkien),Ian McKellen Martin Freeman Richard Armitage Andy Serkis Cate Blanchett,Peter Jackson,/gioXMobK8vbD6bcTsjKYKfgacNt.jpg
99,The Fast and the Furious,Action Crime Thriller,street gang car race undercover auto-tuning los angeles,Paul Walker Vin Diesel Michelle Rodriguez Jordana Brewster Rick Yune,Rob Cohen,/jY9ef5nqY4xIIMu3yzW3qamUCoi.jpg
100,The Curious Case of Benjamin Button,Fantasy Drama Thriller Mystery Romance,diary navy funeral tea travel,Cate Blanchett Brad Pitt Tilda Swinton Julia Ormond Elle Fanning,David Fincher,/6ZvgyKPAatpcHbVsKknly4K4zC6.jpg
101,X-Men: First Class,Action Science Fiction Adventure,cia mutant mine marvel comic superhero,James McAvoy Michael Fassbender Jennifer Lawrence Kevin Bacon Rose Byrne,Matthew Vaughn,/7kURId6slyHNujYpCFm0Z1M3kRt.jpg
102,The Hunger Games: Mockingjay - Part 2,Action Adventure Science Fiction,revolution strong woman dystopia game of death 3d,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,Francis Lawrence,/8wGpjCDAlwpOm1F1onhkhJq16lY.jpg
103,The Sorcerer's Apprentice,Fantasy Adventure Action Comedy Drama,witch fire wolf fountain magic,Nicolas Cage Jay Baruchel Monica Bellucci Alfred Molina Teresa Palmer,Jon Turteltaub,/sRJBQVx3UzoT77yt4NVFCIYfnPh.jpg
104,Poseidon,Adventure Action Drama Thriller,new year's eve fire drowning cataclysm loss of father,Kurt Russell Richard Dreyfuss Josh Lucas Jacinda Barrett Emmy Rossum,Wolfgang Petersen,/r8w0thuHyOLDfMvTTL9R0sPASmc.jpg
105,Alice Through the Looking Glass,Fantasy,based on novel clock queen sequel alice in wonderland,Johnny Depp Mia Wasikowska Anne Hathaway Helena Bonham Carter Alan Rickman,James Bobin,/A6d09KtZKdVGSg0gzsldjDwwvhD.jpg
106,Shrek the Third,Fantasy Adventure Animation Comedy Family,ambush sadness stage liberation of prisoners island,Mike Myers Eddie Murphy Cameron Diaz Julie Andrews Antonio Banderas,Chris Miller,/lxbKrBo1wZ2U9BS1jiZyNe3qI4J.jpg
107,Warcraft,Action Adventure Fantasy,video game elves orcs magic chase,Paula Patton Travis Fimmel Ben Foster Robert Kazinsky Dominic Cooper,Duncan Jones,/pKTvhJel1HfuR2IZC3Qd5N8IM8h.jpg
108,Terminator Genisys,Science Fiction Action Thriller Adventure,saving the world artificial intelligence cyborg killer robot future,Arnold Schwarzenegger Jason Clarke Emilia Clarke Jai Courtney J.K. Simmons,Alan Taylor,/g4a5YLWwi6OCp8TcvxsUNrXMbN5.jpg
109,The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure Family Fantasy,based on novel magic good vs evil king narnia,Skandar Keynes Georgie Henley Simon Pegg Gary Sweet Arthur Angel,Michael Apted,/sScP5gPU8NqJXko7eMRKhBbbnwl.jpg
110,Pearl Harbor,History Romance War,nurse patriotism hawaii world war ii pilot,Ben Affleck Josh Hartnett Kate Beckinsale Cuba Gooding Jr. Jon Voight,Michael Bay,/zv1xOEQzebKyku349qDZ085FZlO.jpg
111,Transformers,Adventure Science Fiction Action,destroy transformation alien based on toy transformers,Shia LaBeouf Josh Duhamel Megan Fox Rachael Taylor Tyrese Gibson,Michael Bay,/77P56ZcL8M9Cw7FIptMIGjhNJoj.jpg
112,Alexander,War History Action Adventure Drama,aristotle egypt greece persia elephant,Colin Farrell Angelina Jolie Val Kilmer Jared Leto Jonathan Rhys Meyers,Oliver Stone,/sqY4MVhtCCwQsUaiO9ge3HLSfYy.jpg
113,Harry Potter and the Order of the Phoenix,Adventure Fantasy Family Mystery,prophecy witch loss of lover magic cutting the cord,Daniel Radcliffe Rupert Grint Emma Watson Michael Gambon Ralph Fiennes,David Yates,/bsaA9qtIR6VTDQykXdBzJc8V5rS.jpg
